Geografi;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Ikast-Brande;19624;19759;19845;19983;20019;19911;20003;19998;20084;20100;20197
Lemvig;10861;10786;10721;10625;10499;10395;10247;10097;9979;9945;9860
Ringkøbing-Skjern;28750;28897;28733;28614;28548;28316;28176;28100;28124;28101;28023
Skive;23856;23813;23739;23711;23474;23304;23135;23063;23034;22918;22928
Struer;11191;11237;11178;11006;10980;10838;10684;10644;10670;10608;10587
Viborg;45881;46243;46444;46530;46737;46947;47004;47182;47575;47875;48096
Brønderslev;17614;17715;17699;17707;17653;17620;17620;17606;17739;17787;17847
Frederikshavn;31412;31260;31032;30837;30602;30359;30187;30078;29970;29970;29822
Hjørring;33660;33642;33486;33264;33111;32961;32761;32671;32709;32613;32588
Jammerbugt;19239;19253;19192;19057;19016;18984;18902;18869;18941;19001;19061
Læsø;995;994;969;967;934;902;896;891;899;892;894
Mariagerfjord;21130;21182;21036;21004;20873;20757;20685;20750;20713;20693;20701
Morsø;10953;10936;10822;10724;10633;10484;10402;10297;10186;10228;10137
Rebild;14116;14146;14167;14210;14213;14181;14158;14163;14280;14416;14616
Thisted;22576;22579;22487;22380;22213;22024;21896;21850;21811;21727;21683
Vesthimmerlands;18857;18949;18799;18654;18538;18571;18494;18439;18350;18339;18281
Aalborg;97870;98404;98887;99797;100537;101526;102431;103393;104337;105079;105838
