Social- og Indenrigsministeriets Kommunale N(ø)gletal;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kom.nr;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indbyggertal 1. januar;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solrød Kommune;269;19.343;19.458;19.541;19.703;19.816;19.998;20.134;20.165;20.297;20.339;20.703;20.877;20.852;20.759;20.743;20.882;20.964;21.156;21.145;21.339;21.552;21.788;22.147;22.518;23.065;23.255
Odsherred Kommune;306;30.963;31.193;31.405;31.553;31.731;32.011;32.188;32.329;32.452;32.489;32.739;32.890;32.980;33.129;33.159;33.030;32.845;32.640;32.452;32.534;32.665;32.816;33.023;33.083;33.122;32.957
Holbæk Kommune;316;62.020;62.652;62.737;63.162;63.544;63.971;64.258;64.925;65.499;66.036;66.611;67.621;68.451;69.010;69.528;69.550;69.521;69.415;69.263;69.016;69.035;69.972;70.950;70.983;71.297;71.541
Faxe Kommune;320;32.354;32.570;32.462;32.838;33.139;33.150;33.577;33.682;33.832;34.220;34.313;34.661;35.117;35.418;35.441;35.306;35.277;35.110;35.123;35.119;35.195;35.614;35.916;36.139;36.513;36.576
Kalundborg Kommune;326;46.477;46.535;46.525;46.661;46.959;47.048;47.183;47.655;47.974;48.227;48.697;48.944;49.377;49.743;49.741;49.265;49.088;48.632;48.294;48.358;48.469;48.660;48.736;48.982;48.681;48.436
Ringsted Kommune;329;28.914;29.067;29.030;29.243;29.454;29.547;29.769;30.018;30.110;30.418;30.830;31.094;31.468;32.092;32.442;32.584;32.890;33.153;33.217;33.349;33.573;34.031;34.259;34.473;34.725;34.852
Slagelse Kommune;330;72.721;72.991;73.748;74.033;74.279;74.601;75.088;75.218;75.728;75.962;76.185;76.519;76.949;77.457;77.457;77.475;77.442;77.310;77.167;76.948;77.293;78.140;78.828;78.968;79.073;79.073
Stevns Kommune;336;20.336;20.554;20.677;20.734;20.970;21.167;21.317;21.492;21.609;21.652;21.776;21.834;21.828;21.892;21.948;21.931;21.855;21.855;21.818;21.825;22.038;22.260;22.492;22.727;22.782;22.805
Sorø Kommune;340;26.804;27.031;27.015;27.087;27.194;27.332;27.503;27.738;28.067;28.193;28.336;28.686;28.956;29.180;29.458;29.522;29.499;29.393;29.288;29.299;29.331;29.543;29.595;29.669;29.834;29.881
Lejre Kommune;350;24.008;24.058;24.183;24.602;24.740;24.975;25.147;25.339;25.637;25.717;25.971;26.132;26.361;26.603;26.778;26.794;26.764;26.887;26.901;26.989;27.172;27.317;27.402;27.544;27.775;27.996
Lolland Kommune;360;51.989;51.963;51.999;51.608;51.318;51.179;50.937;50.659;50.285;49.946;49.469;48.967;48.634;48.219;47.757;46.984;46.111;45.241;44.436;43.528;43.024;42.638;42.285;41.982;41.615;41.105
Næstved Kommune;370;73.784;74.096;74.368;74.704;75.072;75.337;75.769;76.226;76.737;77.529;78.446;79.284;80.133;80.732;80.954;81.112;80.963;81.012;81.163;81.432;81.687;82.342;82.581;82.938;82.991;83.143
